candidate,constituency,party,amount
Bapu Rao Soyam,Adilabad,BJP,5028193
Satyapal Singh Baghel,Agra,BJP,4427274
Patel Hasmukhbhai Somabhai,Ahmedabad East,BJP,5956733
Dr. Solanki Kiritbhai,Ahmedabad West,BJP,6388072
Sujay Radhakrishna Vikhe,Ahmednagar,BJP,6449332
Bhagirath Chaudhary,Ajmer,BJP,3983295
Devendra Singh,Akbarpur,BJP,2785307
Sanjay Shamrao Dhotre,Akola,BJP,5249507
A M Ariff,Alappuzha,CPI(M),6707977
Ramya Haridas,Alathur,INC,6504002
Satish Kumar Gautam,Aligarh,BJP,1830595
John Barla,Alipurduars,BJP,5590813
Rita Bahuguna Joshi,Allahabad,BJP,5008749
Ajay Tamta,Almora,BJP,5767993
Mahant Balak Nath,Alwar,BJP,5157081
Chinta Anuradha,Amalapuram,YSRCP,1674256
Rattan Lal Kataria,Ambala,BJP,5346000
Ritesh Pandey,Ambedkar Nagar,BSP,5153477
Smriti Irani,Amethi,BJP,2541540
Navneet Ravi Rana,Amravati,IND,6559799
