name,amount
Future Gaming and Hotel Services Private Limited,13650000000
Megha Engineering & Infrastructures Limited,9660000000
Qwik Supply Chain Private Limited,4100000000
Vedanta Limited,4003500000
Haldia Energy Limited,3770000000
Essel Mining and Industries Limited,2245000000
Western UP Power Transmission Company Limited,2200000000
Bharti Airtel Limited,1980000000
Keventer Foodpark Infra Limited,1950000000
MKJ Enterprises Limited,1924200000
Madanlal Limited,1855000000
Yashoda Super Speciality Hospital,1620000000
Utkal Alumina International Limited,1451000000
DLF Commercial Developers Limited,1300000000
Jindal Steel and Power Limited,1230000000
B G Shirke Construction Technology Private Limited,1170000000
Dhariwal Infrastructure Limited,1150000000
Avees Trading & Finance Private Limited,1125000000
Chennai Green Woods Private Limited,1050000000
Birla Carbon India Private Limited,1050000000
Rungta Sons Private Limited,1000000000
IFB Agro Industries Limited,923000000
Torrent Power Limited,865000000
Dr Reddy's Laboratories Limited,840000000
Prarambh Securities Private Limited Own Account,787500000
Torrent Pharmaceuticals Limited,775000000
Natco Pharma Limited,692500000
Rashmi Cement Limited,635000000
Sri Siddharth Infratech & Services (India) Private Limited,610000000
Infina Finance Private Limited,600000000
