name,amount
Bharatiya Janata Party,55942011000
All India Trinamool Congress,15925214000
"President, All India Congress Committee",13510945000
Bharat Rashtra Samithi,11911599000
Biju Janata Dal,7755000000
Dravida Munnetra Kazhagam (DMK),6320000000
YSR Congress Party,3287500000
Telugu Desam Party,2115800000
Shivsena,1524514000
Rashtriya Janta Dal,725000000
Aam Aadmi Party,652500000
Janata Dal (Secular),410000000
Sikkim Krantikari Morcha,365000000
Nationalist Congress Party Maharashtra Pradesh,285000000
Janasena Party,210000000
Adhyaksha Samajvadi Party,132100000
Jharkhand Mukti Morcha,125000000
Bihar Pradesh Janta Dal (United),120000000
Shiromani Akali Dal,72600000
Sikkim Democratic Front,55000000
Maharashtrawadi Gomantak Party,5500000
Jammu and Kashmir National Conference,5000000
Goa Forward Party,3500000
