financial_year,assets_lacs,liabilities_lacs,income_lacs,expenditure_lacs
2024-25,1101.19,1101.19,3928.13,3928.13
2023-24,851.36,851.36,3409.71,3409.71
2022-23,2139.95,2139.95,10205.12,10205.12
2021-22,3747.75,3747.75,4453.95,4453.95
2020-21,2182.07,2182.07,1760.47,1760.47
2019-20,1965.30,1965.30,4965.15,4965.15
2018-19,1011.11,1011.11,1931.40,1931.40
2017-18,606.88,606.88,1070.39,1070.39
2016-17,615.30,615.30,3201.22,3201.22
2015-16,731.15,731.15,1109.44,1109.44
2014-15,842.10,842.10,6620.87,6620.87
2013-14,2142.38,2142.38,5244.46,5244.46
2012-13,126.15,126.15,235.56,235.56
